time,open,high,low,close,volume,symbol
2020-01-06,3.2,3.28,3.2,3.28,27210,ELC
2020-01-07,3.28,3.33,3.26,3.33,15430,ELC
2020-01-08,3.26,3.54,3.26,3.33,50230,ELC
2020-01-09,3.44,3.48,3.28,3.48,20760,ELC
2020-01-10,3.53,3.53,3.38,3.53,12800,ELC
2020-01-13,3.53,3.53,3.44,3.45,65420,ELC
2020-01-14,3.45,3.5,3.45,3.5,23570,ELC
2020-01-15,3.5,3.5,3.49,3.49,14200,ELC
2020-01-16,3.44,3.5,3.44,3.5,22820,ELC
2020-01-17,3.45,3.47,3.45,3.45,41900,ELC
2020-01-20,3.28,3.48,3.28,3.48,5320,ELC
2020-01-21,3.48,3.48,3.44,3.47,47820,ELC
2020-01-22,3.46,3.47,3.45,3.45,46290,ELC
2020-01-30,3.54,3.54,3.44,3.47,18090,ELC
2020-01-31,3.44,3.48,3.41,3.47,21700,ELC
2020-02-03,3.44,3.49,3.41,3.49,2590,ELC
2020-02-04,3.49,3.5,3.28,3.48,13820,ELC
2020-02-05,3.46,3.46,3.33,3.44,3440,ELC
2020-02-06,3.26,3.44,3.26,3.33,23660,ELC
2020-02-07,3.28,3.38,3.28,3.36,6280,ELC
2020-02-10,3.28,3.33,3.13,3.33,5100,ELC
2020-02-11,3.33,3.54,3.33,3.4,51720,ELC
2020-02-12,3.34,3.49,3.34,3.45,96790,ELC
2020-02-13,3.49,3.49,3.45,3.45,33170,ELC
2020-02-14,3.51,3.69,3.44,3.69,778790,ELC
2020-02-17,3.95,3.95,3.9,3.95,858500,ELC
2020-02-18,4.03,4.2,3.9,3.9,155030,ELC
2020-02-19,3.77,3.82,3.67,3.69,459310,ELC
2020-02-20,3.68,3.84,3.57,3.59,601000,ELC
2020-02-21,3.57,3.74,3.54,3.57,263990,ELC
2020-02-24,3.44,3.53,3.33,3.33,180370,ELC
2020-02-25,3.17,3.22,3.1,3.13,498280,ELC
2020-02-26,3,3.23,2.92,3.08,155920,ELC
2020-02-27,3.08,3.18,3.04,3.18,109630,ELC
2020-02-28,3.09,3.11,3.02,3.02,108190,ELC
2020-03-02,3.02,3.02,2.96,2.96,46730,ELC
2020-03-03,2.96,3.02,2.96,2.98,70000,ELC
2020-03-04,2.98,3.15,2.97,3.15,122850,ELC
2020-03-05,3.18,3.28,3.03,3.15,145100,ELC
2020-03-06,3.15,3.15,3.02,3.03,61850,ELC
2020-03-09,2.82,2.93,2.82,2.82,220020,ELC
2020-03-10,2.82,2.92,2.82,2.85,73910,ELC
2020-03-11,2.85,2.92,2.73,2.73,33560,ELC
2020-03-12,2.59,2.72,2.54,2.54,194400,ELC
2020-03-13,2.37,2.49,2.37,2.37,148230,ELC
2020-03-16,2.37,2.38,2.22,2.31,141250,ELC
2020-03-17,2.31,2.36,2.26,2.36,70370,ELC
2020-03-18,2.41,2.49,2.36,2.43,16700,ELC
2020-03-19,2.36,2.44,2.36,2.36,33400,ELC
2020-03-20,2.43,2.44,2.36,2.36,53700,ELC
2020-03-23,2.36,2.36,2.19,2.19,133290,ELC
2020-03-24,2.19,2.22,2.07,2.2,32640,ELC
2020-03-25,2.2,2.36,2.2,2.36,91340,ELC
2020-03-26,2.36,2.36,2.2,2.28,31170,ELC
2020-03-27,2.15,2.3,2.15,2.3,14070,ELC
2020-03-30,2.14,2.19,2.14,2.14,71410,ELC
2020-03-31,2.25,2.25,2,2.13,49240,ELC
2020-04-01,2.2,2.2,2.13,2.14,7600,ELC
2020-04-03,2.14,2.26,2.14,2.25,18270,ELC
2020-04-06,2.25,2.28,2.14,2.23,95010,ELC
2020-04-07,2.23,2.28,2.15,2.26,30720,ELC
2020-04-08,2.28,2.33,2.16,2.33,24290,ELC
2020-04-09,2.41,2.41,2.36,2.38,9370,ELC
2020-04-10,2.38,2.4,2.33,2.34,9770,ELC
2020-04-13,2.34,2.36,2.31,2.31,15030,ELC
2020-04-14,2.31,2.41,2.31,2.31,10670,ELC
2020-04-15,2.31,2.4,2.31,2.4,45670,ELC
2020-04-16,2.37,2.42,2.36,2.41,28360,ELC
2020-04-17,2.42,2.53,2.41,2.51,47060,ELC
2020-04-20,2.6,2.69,2.6,2.69,73180,ELC
2020-04-21,2.69,2.81,2.69,2.74,132010,ELC
2020-04-22,2.74,2.74,2.55,2.67,50570,ELC
2020-04-23,2.72,2.72,2.68,2.69,21550,ELC
2020-04-24,2.65,2.69,2.65,2.66,16500,ELC
2020-04-27,2.66,2.71,2.66,2.67,27680,ELC
2020-04-28,2.72,2.72,2.62,2.66,44100,ELC
2020-04-29,2.71,2.71,2.59,2.7,17410,ELC
2020-05-04,2.72,2.82,2.69,2.72,81630,ELC
2020-05-05,2.85,2.85,2.65,2.65,14480,ELC
2020-05-06,2.49,2.81,2.49,2.58,26940,ELC
2020-05-07,2.62,2.62,2.54,2.59,42960,ELC
2020-05-08,2.62,2.72,2.59,2.62,40530,ELC
