time,open,high,low,close,volume,symbol
2020-01-06,3.28,3.48,3.28,3.31,3240,SGT
2020-01-07,3.31,3.44,3.31,3.44,14370,SGT
2020-01-08,3.44,3.44,3.35,3.43,690,SGT
2020-01-09,3.31,3.43,3.31,3.43,510,SGT
2020-01-10,3.26,3.42,3.26,3.42,240,SGT
2020-01-13,3.65,3.65,3.22,3.27,100070,SGT
2020-01-14,3.27,3.44,3.27,3.44,2020,SGT
2020-01-15,3.28,3.43,3.28,3.43,5140,SGT
2020-01-16,3.43,3.43,3.42,3.42,3670,SGT
2020-01-17,3.22,3.42,3.22,3.42,30,SGT
2020-01-20,3.24,3.31,3.24,3.31,6100,SGT
2020-01-21,3.51,3.51,3.31,3.38,420,SGT
2020-01-22,3.44,3.44,3.44,3.44,10,SGT
2020-01-30,3.31,3.5,3.3,3.5,30510,SGT
2020-01-31,3.63,3.63,3.48,3.48,230,SGT
2020-02-03,3.73,3.73,3.24,3.44,4410,SGT
2020-02-04,3.31,3.31,3.2,3.3,2700,SGT
2020-02-05,3.51,3.51,3.51,3.51,10,SGT
2020-02-06,3.71,3.71,3.71,3.71,10,SGT
2020-02-07,3.71,3.71,3.71,3.71,0,SGT
2020-02-10,3.71,3.71,3.71,3.71,0,SGT
2020-02-11,3.47,3.47,3.46,3.46,2600,SGT
2020-02-12,3.24,3.46,3.24,3.46,3310,SGT
2020-02-13,3.44,3.44,3.44,3.44,50,SGT
2020-02-14,3.44,3.44,3.2,3.44,4340,SGT
2020-02-17,3.44,3.44,3.31,3.4,13490,SGT
2020-02-18,3.31,3.4,3.17,3.4,7870,SGT
2020-02-19,3.57,3.57,3.57,3.57,10,SGT
2020-02-20,3.33,3.48,3.33,3.33,600,SGT
2020-02-21,3.31,3.35,3.31,3.31,7710,SGT
2020-02-24,3.31,3.31,3.3,3.3,810,SGT
2020-02-25,3.27,3.44,3.24,3.38,6930,SGT
2020-02-26,3.42,3.42,3.18,3.38,10810,SGT
2020-02-27,3.42,3.42,3.42,3.42,10,SGT
2020-02-28,3.24,3.43,3.19,3.43,5830,SGT
2020-03-02,3.66,3.66,3.2,3.2,6830,SGT
2020-03-03,3.14,3.41,3.13,3.41,6320,SGT
2020-03-04,3.44,3.44,3.44,3.44,10,SGT
2020-03-05,3.33,3.37,3.2,3.29,3000,SGT
2020-03-06,3.07,3.28,3.07,3.28,210,SGT
2020-03-09,3.38,3.38,3.06,3.06,750,SGT
2020-03-10,2.84,3.02,2.84,3.02,260,SGT
2020-03-11,3.02,3.02,2.82,3,340,SGT
2020-03-12,2.8,2.98,2.8,2.8,11120,SGT
2020-03-13,2.61,2.8,2.6,2.8,3620,SGT
2020-03-16,2.99,2.99,2.89,2.96,60,SGT
2020-03-17,2.96,2.96,2.8,2.81,6910,SGT
2020-03-18,3,3,2.76,3,70,SGT
2020-03-19,2.8,2.89,2.8,2.89,80,SGT
2020-03-20,2.89,2.89,2.89,2.89,10,SGT
2020-03-23,2.76,2.89,2.69,2.89,5550,SGT
2020-03-24,2.69,2.69,2.69,2.69,290,SGT
2020-03-25,2.88,2.88,2.51,2.76,436770,SGT
2020-03-26,2.75,2.75,2.57,2.73,340,SGT
2020-03-27,2.55,2.69,2.55,2.69,850,SGT
2020-03-30,2.5,2.64,2.5,2.5,10770,SGT
2020-03-31,2.34,2.66,2.34,2.34,3790,SGT
2020-04-01,2.5,2.5,2.35,2.35,3870,SGT
2020-04-03,2.51,2.51,2.5,2.51,1170,SGT
2020-04-06,2.55,2.55,2.51,2.51,4730,SGT
2020-04-07,2.53,2.54,2.51,2.51,520,SGT
2020-04-08,2.34,2.55,2.34,2.55,6780,SGT
2020-04-09,2.51,2.71,2.41,2.71,2390,SGT
2020-04-10,2.64,2.71,2.64,2.71,3440,SGT
2020-04-13,2.71,2.89,2.53,2.76,7040,SGT
2020-04-14,2.58,2.82,2.57,2.82,2030,SGT
2020-04-15,2.69,2.82,2.66,2.69,10390,SGT
2020-04-16,2.53,2.82,2.52,2.79,52390,SGT
2020-04-17,2.76,2.89,2.76,2.89,5910,SGT
2020-04-20,2.82,3.09,2.82,3.09,460880,SGT
2020-04-21,2.89,3.1,2.89,3.03,15020,SGT
2020-04-22,3.17,3.17,2.93,2.93,720,SGT
2020-04-23,3.03,3.03,2.89,2.89,2990,SGT
2020-04-24,2.7,2.89,2.7,2.89,4210,SGT
2020-04-27,3.03,3.03,2.89,2.89,880,SGT
2020-04-28,2.89,2.96,2.89,2.96,5220,SGT
2020-04-29,2.96,2.96,2.82,2.82,2200,SGT
2020-05-04,2.82,2.96,2.76,2.96,5700,SGT
2020-05-05,2.96,3.03,2.76,3.03,3510,SGT
2020-05-06,3.03,3.1,2.96,3.1,720,SGT
2020-05-07,2.89,3.09,2.89,2.89,6800,SGT
2020-05-08,2.89,3.03,2.76,2.76,4230,SGT
2020-05-11,2.95,2.95,2.78,2.95,3430,SGT
2020-05-12,2.89,3.03,2.76,2.76,6690,SGT
2020-05-13,2.76,2.96,2.76,2.89,9760,SGT
2020-05-14,2.89,3.02,2.89,3.02,10120,SGT
2020-05-15,3.2,3.22,2.86,3.13,6840,SGT
2020-05-18,2.92,3.13,2.92,3.13,800,SGT
2020-05-19,3.13,3.15,2.92,3.15,1650,SGT
2020-05-20,3.15,3.15,2.94,2.94,250,SGT
2020-05-21,3.06,3.06,2.89,2.89,390,SGT
