time,open,high,low,close,volume,symbol
2023-01-05,240,240,240,240,0,VNZ
2023-01-06,240,240,240,240,0,VNZ
2023-01-09,240,240,240,240,0,VNZ
2023-01-10,240,240,240,240,0,VNZ
2023-01-11,240,240,240,240,0,VNZ
2023-01-12,240,240,240,240,0,VNZ
2023-01-13,240,240,240,240,0,VNZ
2023-01-16,240,240,240,240,0,VNZ
2023-01-17,240,240,240,240,0,VNZ
2023-01-18,240,240,240,240,0,VNZ
2023-01-19,240,240,240,240,0,VNZ
2023-01-27,240,240,240,240,0,VNZ
2023-01-30,240,240,240,240,0,VNZ
2023-01-31,240,240,240,240,0,VNZ
2023-02-01,336,336,336,336,100,VNZ
2023-02-02,386.4,386.4,386.4,386.4,100,VNZ
2023-02-03,444.3,444.3,444.3,444.3,100,VNZ
2023-02-06,510.9,510.9,510.9,510.9,100,VNZ
2023-02-07,587.5,587.5,587.5,587.5,100,VNZ
2023-02-08,675.6,675.6,675.6,675.6,100,VNZ
2023-02-09,776.9,776.9,776.9,776.9,100,VNZ
2023-02-10,893.4,893.4,893.4,893.4,300,VNZ
2023-02-13,1027.4,1027.4,1027.4,1027.4,6244,VNZ
2023-02-14,1181.5,1181.5,1181.5,1181.5,5611,VNZ
2023-02-15,1358.7,1358.7,1358.7,1358.7,5584,VNZ
2023-02-16,1562.5,1562.5,1296.2,1300,11234,VNZ
2023-02-17,1250,1250,1219.5,1219.5,1177,VNZ
2023-02-20,1046.4,1046.5,1046.4,1046.4,6059,VNZ
2023-02-21,900,990,889.5,913,7262,VNZ
2023-02-22,930,1065,930,950,2701,VNZ
2023-02-23,989.9,989.9,930,970,1343,VNZ
2023-02-24,920,930,890,890,2028,VNZ
2023-02-27,888,888,880,888,582,VNZ
2023-02-28,871,924,871,924,719,VNZ
2023-03-01,898,900,898,900,720,VNZ
2023-03-02,919,929,900,900,782,VNZ
2023-03-03,919.9,920,900,900,714,VNZ
2023-03-06,925,925,925,925,123,VNZ
2023-03-07,918,918,888,888,457,VNZ
2023-03-08,908,908,908,908,152,VNZ
2023-03-09,900,900,900,900,346,VNZ
2023-03-10,900,900,900,900,105,VNZ
2023-03-13,888,900,888,900,1509,VNZ
2023-03-14,895,895,888,888,843,VNZ
2023-03-15,888,895,888,895,219,VNZ
2023-03-16,890,890,890,890,310,VNZ
2023-03-17,880,880,880,880,207,VNZ
2023-03-20,890,890,885,885,350,VNZ
2023-03-21,890,895,890,895,315,VNZ
2023-03-22,885,889,850,889,302,VNZ
2023-03-23,880,880,875,875,511,VNZ
2023-03-24,866,866,865,865,216,VNZ
2023-03-27,800,805,735.7,735.8,3082,VNZ
2023-03-28,681,700,681,694.3,1010,VNZ
2023-03-29,700,787.9,700,787.9,206,VNZ
2023-03-30,744,744,744,744,400,VNZ
2023-03-31,744,750,744,750,300,VNZ
2023-04-03,750,750,710,746,409,VNZ
2023-04-04,730,749,730,749,402,VNZ
2023-04-05,750,750,750,750,102,VNZ
2023-04-06,790,830,790,830,410,VNZ
